Category: Finance

Week,Netflix: (United States),Hulu: (United States),prime video: (United States),apple tv: (United States)
2014-11-09,19,4,<1,1
2014-11-16,18,4,<1,1
2014-11-23,18,4,<1,1
2014-11-30,20,3,<1,1
2014-12-07,22,3,<1,1
2014-12-14,20,4,1,1
2014-12-21,21,3,<1,1
2014-12-28,25,5,<1,1
2015-01-04,25,4,1,1
2015-01-11,22,5,<1,1
2015-01-18,29,4,1,1
2015-01-25,24,4,<1,1
2015-02-01,26,4,<1,1
2015-02-08,24,4,<1,1
2015-02-15,20,4,<1,1
2015-02-22,21,3,<1,1
2015-03-01,25,5,<1,1
2015-03-08,20,4,<1,1
2015-03-15,21,5,<1,1
2015-03-22,19,4,<1,<1
2015-03-29,20,4,<1,1
2015-04-05,21,3,<1,1
2015-04-12,38,3,<1,1
2015-04-19,27,3,<1,1
2015-04-26,22,4,<1,1
2015-05-03,20,4,<1,1
2015-05-10,24,3,<1,1
2015-05-17,23,3,<1,1
2015-05-24,22,4,<1,1
2015-05-31,22,3,<1,1
2015-06-07,32,2,<1,1
2015-06-14,24,3,1,1
2015-06-21,41,3,1,1
2015-06-28,30,3,1,1
2015-07-05,27,4,<1,1
2015-07-12,58,3,<1,1
2015-07-19,36,4,<1,1
2015-07-26,28,3,<1,1
2015-08-02,34,3,<1,1
2015-08-09,30,3,<1,1
2015-08-16,32,3,<1,1
2015-08-23,48,4,1,1
2015-08-30,37,4,<1,1
2015-09-06,28,3,1,2
2015-09-13,27,4,<1,1
2015-09-20,24,4,<1,1
2015-09-27,29,2,<1,1
2015-10-04,29,5,<1,1
2015-10-11,32,4,<1,1
2015-10-18,28,3,<1,1
2015-10-25,22,4,<1,2
2015-11-01,24,4,<1,2
2015-11-08,20,3,<1,1
2015-11-15,24,4,<1,1
2015-11-22,22,3,<1,1
2015-11-29,22,3,1,1
2015-12-06,21,5,<1,2
2015-12-13,24,3,<1,1
2015-12-20,20,4,<1,2
2015-12-27,25,4,1,1
2016-01-03,35,5,<1,1
2016-01-10,25,3,<1,1
2016-01-17,36,3,<1,1
2016-01-24,28,3,<1,1
2016-01-31,28,5,<1,1
2016-02-07,25,4,<1,1
2016-02-14,22,4,1,1
2016-02-21,22,3,<1,1
2016-02-28,23,3,<1,1
2016-03-06,21,3,<1,1
2016-03-13,20,3,<1,1
2016-03-20,20,3,<1,1
2016-03-27,22,4,<1,1
2016-04-03,19,3,1,1
2016-04-10,20,3,<1,1
2016-04-17,31,3,<1,1
2016-04-24,19,3,<1,1
2016-05-01,20,3,<1,1
2016-05-08,18,3,<1,<1
2016-05-15,18,3,<1,<1
2016-05-22,19,3,<1,1
2016-05-29,17,3,0,1
2016-06-05,16,2,<1,1
2016-06-12,15,3,<1,1
2016-06-19,19,2,<1,1
2016-06-26,21,3,<1,1
2016-07-03,18,2,<1,1
2016-07-10,18,3,<1,1
2016-07-17,38,3,<1,1
2016-07-24,21,2,<1,<1
